1,"The Big Sick (2017)",5,4
2,"Her (2013)",3,4.3333
3,"Sideways (2004)",3,2.6667
4,"The Princess Bride (1987)",7,4.5714
5,"Beauty and the Beast (1991)",7,4.5714
